,Local authority code,Local authority name,Ward code,Ward name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022
0,E09000003,Barnet,E05000045,Childs Hill,88.0,88.0,84.0,89.75,97.25,109.0,120.0,129.0,130.0,129.95,132.5,135.0,129.95,125.0,125.0,142.0,150.15,170.0,173.0,175.0,186.0,183.75,160.0,152.0,153.0,162.0,175.0,188.0,198.25,240.475,249.95,250.0,250.0,249.95,250.0,250.0,265.0,250.0,250.0,249.998,250.0,270.0,279.0,284.125,285.0,280.0,279.475,285.0,291.5,315.0,315.0,315.0,315.5,313.75,355.0,382.5,375.0,381.05,425.0,450.0,431.0,431.0,395.0,380.0,392.5,380.0,410.0,470.75,522.5,545.0,528.0,470.0,470.0,457.5,453.0,465.0,517.5,659.0,697.5,650.0,605.0,525.0,520.0,530.0,540.0,590.0,615.5,637.5,635.0,615.000,595.000,591.000,587.500,545.000,542.000,538.0,530.000,540.0,554.2,662.750,671.5,715.0,755.0,787.5,815.500,900.000,922.500,890.000
1,E09000003,Barnet,E05000044,Burnt Oak,58.0,60.0,60.0,60.0,60.0,61.123,63.95,67.95,70.5,73.5,75.0,78.0,78.975,80.25,83.5,86.0,91.5,97.0,106.475,110.0,113.0,118.0,119.0,122.0,126.5,128.5,132.975,142.0,150.0,160.0,165.0,172.0,180.238,185.0,187.5,193.0,194.875,199.995,209.95,209.973,211.498,208.25,201.748,207.0,209.95,210.0,215.0,219.95,225.0,236.0,240.0,240.0,234.95,225.0,215.0,210.5,191.5,192.0,197.0,207.5,219.95,223.455,223.98,226.0,230.0,226.0,230.0,234.0,234.0,240.0,240.0,245.0,245.0,248.0,250.0,249.95,250.0,280.0,294.95,306.0,320.0,321.0,325.0,335.0,340.0,360.0,360.0,370.0,375.0,360.000,365.000,361.000,371.500,370.000,370.000,370.0,346.750,346.75,333.75,322.500,386.0,400.0,420.0,416.0,428.250,431.750,424.000,440.000
2,E09000003,Barnet,E05000047,Coppetts,71.25,71.0,73.75,78.0,74.5,79.0,80.0,79.245,88.975,84.95,88.0,99.95,105.0,117.0,120.95,128.995,131.995,133.975,149.625,160.0,165.0,165.0,167.5,165.995,160.0,165.0,165.0,175.0,188.5,197.75,210.0,209.447,224.5,234.0,234.0,238.0,240.0,240.0,242.5,244.95,240.0,241.5,245.0,249.95,272.5,270.0,280.0,280.0,283.0,283.0,265.0,249.95,231.25,247.5,239.975,250.0,250.0,270.0,280.0,285.0,296.75,295.5,303.0,295.0,292.0,285.0,281.0,313.75,325.0,345.0,340.0,355.0,335.0,335.0,331.75,320.0,335.0,360.0,385.0,422.5,462.5,513.75,525.0,525.0,530.0,490.0,507.5,484.0,445.0,445.000,430.750,435.000,445.000,457.500,457.500,442.5,438.500,447.5,455.0,477.500,550.125,595.0,600.0,584.0,575.000,548.500,560.000,563.500
3,E09000003,Barnet,E05000043,Brunswick Park,85.0,85.5,90.25,90.0,94.15,95.0,100.0,105.0,111.0,117.5,121.5,125.0,123.5,125.0,126.0,130.0,140.0,143.0,150.0,161.0,174.475,177.5,183.75,190.0,193.25,196.0,202.0,215.0,230.0,237.0,245.0,250.0,250.0,257.75,260.0,262.5,267.0,268.0,280.0,281.0,280.0,280.0,275.0,283.0,282.25,295.0,295.0,305.0,330.0,325.0,346.0,344.14,309.0,290.0,280.0,285.0,310.0,318.5,326.5,339.0,340.0,343.0,350.0,347.0,342.0,335.0,340.0,344.0,362.0,367.5,365.5,379.95,380.0,385.0,400.0,419.75,435.25,439.375,435.5,455.0,470.0,479.975,511.0,538.0,550.0,550.0,550.0,560.0,570.0,575.000,575.000,560.000,553.750,550.000,532.500,568.0,561.000,560.5,556.0,566.000,585.0,595.0,590.0,592.0,600.000,599.975,626.050,630.000
4,E09000003,Barnet,E05000046,Colindale,59.0,60.0,63.123,63.995,62.0,59.95,59.975,61.0,65.0,71.0,72.5,73.0,74.5,75.725,80.0,83.0,85.0,88.5,92.5,97.575,103.0,105.0,110.0,112.0,119.95,124.225,129.975,137.725,153.0,160.0,164.0,165.0,170.0,175.0,172.0,180.0,180.0,180.0,185.0,195.0,200.0,195.0,192.0,193.0,193.5,206.0,208.0,211.46,230.0,235.0,238.225,243.95,244.95,244.95,244.975,226.0,226.0,225.5,222.0,223.0,220.5,218.5,219.0,232.8,242.25,246.23,250.0,250.0,250.0,250.0,250.0,265.025,258.5,267.0,276.25,295.0,302.5,315.0,324.975,320.0,325.0,329.95,335.0,357.45,380.0,389.5,390.0,390.0,406.25,426.900,430.000,430.000,445.000,455.000,460.900,465.0,458.500,460.0,470.0,485.550,471.0,415.0,415.0,410.0,450.000,466.526,485.000,469.025
5,E09000003,Barnet,E05000048,East Barnet,82.0,82.0,84.0,87.0,86.95,87.0,85.0,83.5,80.0,80.0,80.5,80.0,79.975,81.0,85.0,99.95,112.5,113.25,120.0,123.0,126.0,131.75,135.0,153.5,163.5,165.0,174.25,183.25,190.0,204.0,210.0,210.0,217.5,219.975,225.0,230.0,236.0,235.0,225.75,227.0,227.0,235.25,244.0,249.95,250.0,250.0,250.0,270.25,272.0,274.0,295.0,290.0,298.0,282.0,260.0,260.0,269.155,282.0,294.0,294.5,303.5,295.0,295.0,312.5,305.5,311.25,320.0,315.0,329.975,326.95,327.0,345.0,340.0,354.0,366.0,379.975,366.0,370.0,368.0,377.0,435.0,435.0,465.0,472.25,475.0,480.0,470.0,490.0,505.725,522.500,493.500,480.000,460.000,460.000,500.000,500.125,525.000,525.0,526.0,535.250,550.0,565.0,562.5,565.0,550.000,550.000,585.000,589.000
6,E09000003,Barnet,E05000050,Edgware,105.75,110.0,110.0,118.5,121.0,129.2,124.25,115.25,120.0,113.0,127.0,131.5,130.0,135.0,135.625,146.0,150.0,161.0,180.0,189.975,189.95,187.5,169.75,176.0,193.975,214.0,233.75,244.475,249.225,265.0,272.0,275.0,283.75,280.0,289.5,297.5,300.0,315.0,297.0,290.0,277.5,276.25,282.5,300.0,313.5,325.0,340.0,367.75,386.0,387.0,400.0,388.475,338.75,285.0,296.0,321.0,362.5,375.0,332.5,306.0,289.0,281.0,306.0,296.25,296.25,320.0,287.0,295.75,294.25,284.0,300.0,380.0,387.5,430.0,427.5,447.0,452.5,465.0,500.0,531.25,540.0,475.0,395.0,390.0,390.0,395.0,600.0,600.0,600.0,600.000,640.000,645.000,645.000,650.000,615.000,595.0,592.325,580.0,580.0,599.000,599.95,600.0,600.0,600.0,620.000,630.000,650.000,665.000
7,E09000003,Barnet,E05000055,Hendon,73.0,75.0,72.0,75.0,78.0,82.0,85.0,90.0,92.75,95.25,106.5,102.5,105.5,110.0,118.35,129.0,130.0,133.0,136.5,146.0,150.0,150.0,158.5,158.475,169.6,179.75,179.0,189.25,191.375,199.95,215.0,221.0,229.95,233.95,241.0,245.0,243.5,240.5,248.0,249.725,249.725,249.95,244.999,245.0,249.999,250.0,249.999,250.0,250.0,259.5,279.0,280.0,280.0,280.0,280.0,285.0,290.5,292.0,285.0,287.25,285.0,293.4,310.0,330.0,325.0,325.0,331.0,327.0,331.0,348.75,340.0,332.5,340.0,329.95,330.0,335.0,350.0,375.0,400.0,421.25,425.0,429.0,412.5,429.0,450.0,475.0,503.75,487.5,497.5,495.000,482.500,500.000,495.000,513.000,510.000,555.0,537.500,485.0,500.0,476.900,500.0,500.0,500.0,500.0,470.000,490.000,605.000,625.000
8,E09000003,Barnet,E05000049,East Finchley,79.725,75.0,74.5,74.5,71.495,75.25,79.0,85.0,96.25,104.0,112.0,114.95,115.0,114.775,115.0,118.0,124.0,129.95,139.998,145.0,151.475,155.0,158.0,165.0,175.0,180.0,187.0,202.475,210.0,218.0,225.0,215.0,213.0,215.0,219.975,233.0,236.688,235.0,244.0,245.0,249.999,250.0,250.0,249.999,250.0,250.0,258.0,275.0,292.0,295.0,309.95,305.0,298.0,275.0,250.0,282.5,302.5,313.0,345.0,347.5,356.0,370.0,340.0,331.25,337.5,350.0,361.5,385.0,370.5,365.0,365.0,339.25,370.0,340.0,370.0,397.5,435.0,462.0,500.0,475.0,422.5,460.0,465.0,455.0,514.251,536.25,538.75,547.5,576.5,587.500,512.500,560.000,556.000,563.500,580.000,550.0,525.000,522.5,528.75,535.000,580.0,612.5,610.0,616.25,615.000,600.000,615.000,605.250
9,E09000003,Barnet,E05000051,Finchley Church End,119.75,117.0,116.0,119.25,121.0,133.0,134.125,137.5,136.0,130.0,130.5,129.973,136.0,136.0,151.25,165.5,173.5,180.0,189.95,189.95,185.0,187.725,200.0,212.0,225.0,248.0,270.0,285.0,285.25,285.25,273.0,278.75,277.5,252.5,285.0,288.0,285.0,290.0,265.0,276.75,279.95,290.0,320.0,321.25,325.0,339.95,330.0,342.375,375.0,370.0,375.0,382.5,360.0,355.5,350.0,350.0,365.0,405.0,420.0,425.0,420.0,424.25,437.5,395.0,385.0,397.172,405.0,407.5,410.0,432.5,435.0,475.75,499.95,460.0,499.95,505.0,535.0,560.0,520.0,527.5,575.5,575.5,599.95,599.975,536.5,557.5,600.0,586.0,612.5,637.500,612.500,700.000,625.000,586.250,572.500,600.0,627.500,630.0,657.5,695.000,713.5,772.5,771.0,680.0,730.000,768.750,790.000,810.000
10,E09000003,Barnet,E05000056,High Barnet,90.0,92.0,90.0,89.975,90.0,87.368,85.0,90.0,100.0,107.5,108.35,105.0,100.0,100.0,112.75,122.0,125.0,134.0,139.95,145.0,159.95,159.95,168.0,169.95,170.0,177.5,184.975,198.0,210.0,220.5,214.95,214.975,210.0,220.0,220.0,225.0,238.5,245.0,250.0,249.95,267.5,272.0,267.25,284.95,288.5,290.5,295.125,297.6,290.0,295.0,298.0,295.0,306.0,299.0,300.0,294.5,310.0,311.0,315.0,311.0,295.0,310.0,298.75,326.25,334.975,330.0,352.0,377.0,357.0,381.6,370.0,350.5,375.0,375.0,380.0,418.845,419.423,430.0,440.0,455.0,465.0,475.0,468.75,477.45,480.0,490.0,515.0,495.0,520.0,500.000,490.000,525.000,485.000,500.000,517.500,472.5,515.000,550.0,574.0,637.500,635.0,643.5,640.0,645.0,635.000,627.500,625.000,622.500
11,E09000003,Barnet,E05000052,Garden Suburb,160.0,155.0,164.0,162.0,161.5,165.0,160.0,165.0,170.0,180.0,194.725,201.0,200.0,200.0,213.5,219.25,220.0,220.0,230.0,245.0,247.475,250.0,255.0,275.0,297.5,325.0,340.0,348.75,320.0,300.0,275.0,250.0,279.95,294.0,370.0,397.5,407.0,409.755,399.999,402.5,410.0,390.5,412.0,447.5,450.0,483.75,485.0,487.5,522.5,499.95,499.95,525.0,495.0,496.25,512.5,516.25,601.25,682.5,670.5,663.5,634.0,625.0,615.0,575.0,581.75,575.0,642.5,660.0,707.5,762.5,735.0,741.0,700.0,725.0,758.5,815.0,825.0,844.975,850.0,834.0,885.0,886.225,930.0,896.225,847.5,835.0,840.0,930.0,972.0,1.036.000,1.037.500,1.065.000,1.165.000,1.102.500,1.032.500,996.0,1.000.000,970.0,975.0,1.100.000,975.0,925.0,945.0,950.0,1.015.000,1.100.000,1.180.000,1.215.000
12,E09000003,Barnet,E05000057,Mill Hill,105.0,107.0,105.0,99.977,104.0,104.0,103.995,105.0,118.5,120.5,126.0,130.0,133.25,139.95,150.0,154.0,155.0,157.5,163.5,167.25,171.0,182.0,180.0,186.0,194.75,193.725,205.0,220.0,239.95,250.0,265.0,272.0,278.5,274.0,284.45,285.475,285.475,299.975,295.0,292.95,295.0,290.0,286.0,288.0,292.0,301.0,304.95,315.0,339.975,332.5,335.0,322.5,300.0,300.0,290.0,274.995,282.0,297.834,300.0,349.25,347.25,367.5,355.0,346.0,370.0,337.5,365.5,385.0,381.25,405.0,405.0,405.0,425.0,420.0,460.0,495.0,520.0,550.0,550.0,572.0,575.0,560.0,606.25,575.0,570.0,575.0,549.975,565.0,599.995,600.000,606.000,600.000,615.000,580.000,575.000,585.0,576.267,600.0,600.0,620.000,560.0,565.0,569.995,568.5,585.000,599.000,636.000,640.000
13,E09000003,Barnet,E05000054,Hale,86.0,85.0,85.0,84.5,85.0,86.9,90.0,91.0,100.0,108.5,115.0,124.25,125.0,123.25,125.5,127.5,130.0,139.0,143.0,146.0,157.0,159.513,171.0,175.0,180.0,180.0,185.0,191.0,199.95,210.0,233.225,239.95,236.5,240.0,246.25,249.0,249.973,250.0,262.5,274.5,271.0,272.25,267.0,267.0,276.75,285.0,295.0,306.0,305.0,298.5,300.0,290.0,290.0,287.55,290.0,294.5,290.0,300.0,303.5,317.0,330.0,325.0,325.0,319.658,319.975,322.5,338.475,365.75,355.0,360.0,355.0,335.0,349.975,350.0,355.0,388.0,397.25,405.0,405.0,423.75,450.0,499.0,500.0,525.0,530.0,525.0,565.0,565.0,567.5,555.000,539.000,539.000,525.000,548.000,532.500,525.0,513.250,488.39,488.39,482.000,525.0,550.0,575.0,595.95,602.500,605.000,621.500,623.000
14,E09000003,Barnet,E05000053,Golders Green,106.0,106.0,93.0,93.0,93.0,95.0,120.0,133.0,137.0,140.0,145.0,145.0,150.0,151.0,153.5,158.0,173.5,188.0,195.5,208.0,205.0,200.0,203.0,211.5,222.0,229.0,240.0,250.0,250.0,270.0,287.0,300.0,314.0,322.0,325.0,325.0,325.0,317.0,310.0,305.0,305.0,315.0,315.0,345.0,350.0,351.5,368.0,373.638,390.0,407.75,410.0,410.0,396.5,390.0,385.0,377.5,400.0,400.0,385.0,400.0,397.0,401.25,430.0,443.75,430.0,420.0,435.0,445.0,450.0,490.0,440.0,428.0,475.0,510.0,547.5,552.5,555.25,525.0,525.0,563.0,584.975,625.0,635.0,607.5,560.0,560.0,565.0,565.0,648.0,642.500,645.000,480.000,456.638,455.000,456.638,671.25,707.500,710.0,738.5,730.000,690.0,697.5,727.5,719.5,750.000,735.200,760.000,772.500
15,E09000003,Barnet,E05000059,Totteridge,125.0,124.0,124.0,130.0,130.0,131.0,133.0,137.75,149.95,158.75,163.0,184.5,180.0,175.0,180.0,175.0,183.0,190.0,200.0,227.25,230.0,240.0,249.475,247.95,249.95,249.95,277.0,290.0,300.0,299.975,288.475,250.0,267.5,284.5,322.5,355.0,335.0,335.0,345.0,363.75,360.0,350.0,365.0,377.0,390.0,396.0,390.0,417.5,427.475,443.25,452.5,450.0,425.0,440.0,400.0,399.0,430.0,439.95,449.5,454.5,450.0,439.975,453.0,485.0,490.0,485.0,480.0,459.0,478.75,508.5,489.25,500.0,540.0,562.0,575.0,607.5,627.75,671.25,700.0,700.0,700.0,690.0,612.5,537.5,507.5,500.0,530.0,542.5,550.0,582.500,620.000,698.000,650.000,650.000,667.500,675.0,660.000,665.0,667.0,660.000,655.0,671.0,694.275,697.475,790.000,800.000,828.750,825.000
16,E09000003,Barnet,E05000063,Woodhouse,76.0,76.0,80.0,86.425,85.0,90.0,90.25,87.5,90.0,88.25,89.0,92.5,94.95,105.0,115.0,129.0,132.25,135.0,134.95,138.25,145.0,147.0,155.875,165.0,165.0,175.0,180.0,181.0,196.0,188.0,194.975,197.75,201.975,221.25,240.0,245.0,246.5,245.0,238.5,234.376,241.899,243.0,240.0,245.0,246.0,249.95,249.973,260.0,267.0,268.0,280.0,267.0,249.95,249.75,245.0,245.0,250.0,250.0,261.0,285.0,286.5,288.0,282.5,276.0,280.0,275.0,287.5,295.0,320.0,345.0,348.75,360.0,359.5,371.0,365.0,363.75,370.0,375.0,380.0,400.0,400.0,425.0,467.5,490.0,500.0,501.75,500.0,465.0,478.0,480.000,450.000,449.000,440.111,450.000,475.000,485.0,500.000,485.0,485.0,495.000,500.0,605.0,600.0,607.5,610.000,577.500,541.250,554.700
17,E09000003,Barnet,E05000062,West Hendon,72.0,72.5,72.25,74.475,73.0,77.0,80.0,84.975,85.0,86.25,86.25,88.975,89.5,89.95,95.0,99.975,110.0,113.0,119.475,124.95,128.0,135.5,145.0,160.0,165.625,170.0,170.0,175.0,175.0,180.0,195.0,202.5,211.0,225.0,230.0,230.0,233.25,234.95,235.0,244.05,237.5,234.0,235.0,240.0,245.0,258.0,261.5,272.475,276.0,249.95,250.0,249.999,247.75,255.001,249.0,242.0,245.0,248.475,250.0,270.0,286.0,292.5,300.0,300.0,310.0,311.5,309.25,279.5,270.0,250.0,250.0,250.0,252.0,271.0,315.0,330.0,337.5,355.0,375.0,376.5,397.5,409.0,440.75,446.0,471.25,485.0,495.0,495.0,487.5,480.000,468.500,468.000,472.500,472.000,487.500,486.0,475.000,475.0,465.0,451.825,453.5,457.5,445.0,450.0,471.525,500.000,546.000,590.000
18,E09000003,Barnet,E05000060,Underhill,81.995,82.0,79.995,82.0,82.5,83.5,86.25,87.25,90.475,93.5,100.0,103.0,101.5,106.0,107.0,117.0,126.0,131.0,138.25,140.0,144.95,144.375,150.0,165.0,168.0,175.0,178.0,176.75,185.0,194.975,205.0,209.975,210.0,216.0,224.5,228.0,234.0,236.25,237.5,241.0,241.25,240.5,245.0,249.725,260.0,265.0,275.75,278.25,279.95,279.95,275.0,275.0,271.75,279.975,250.0,250.0,262.5,272.0,285.0,286.0,292.0,292.5,279.95,297.5,297.25,297.0,300.0,300.0,307.5,315.0,328.725,341.5,343.0,335.619,347.0,375.0,389.975,400.0,407.0,418.75,445.975,467.0,475.0,516.225,547.5,535.0,531.5,500.0,471.5,515.000,512.000,532.500,550.000,550.000,555.000,553.25,535.000,535.0,535.0,535.000,570.0,575.25,589.0,595.0,590.000,595.000,566.500,540.000
19,E09000003,Barnet,E05000061,West Finchley,70.975,69.0,68.5,74.0,85.0,85.0,91.5,92.5,95.0,103.0,105.0,111.925,107.0,108.0,110.0,125.0,135.0,139.95,150.0,150.0,155.0,157.725,160.0,168.25,171.45,177.0,180.0,194.95,200.0,205.5,220.0,225.0,227.5,234.601,247.553,249.95,250.0,254.803,270.0,280.0,250.0,249.25,245.0,245.0,249.95,250.0,274.475,277.0,280.0,278.0,279.95,290.0,284.437,290.0,300.0,287.75,290.0,293.0,296.5,311.563,315.0,315.0,312.5,311.5,295.0,295.0,297.25,299.0,325.75,335.0,330.0,322.0,351.0,349.95,365.0,380.0,381.0,405.0,438.325,447.5,455.0,480.0,480.0,511.25,531.0,561.5,542.5,535.0,525.0,525.000,520.000,497.000,518.500,496.500,464.925,449.592,467.000,469.5,490.0,528.250,537.0,580.0,575.0,600.0,600.000,600.000,620.000,650.000
20,E09000003,Barnet,E05000058,Oakleigh,94.95,93.5,90.0,80.0,74.5,73.188,75.725,81.0,95.5,94.0,105.0,105.0,105.0,110.0,105.0,115.0,123.75,129.975,140.0,145.0,155.0,141.5,146.0,154.475,160.5,178.0,190.0,186.0,170.0,182.5,181.65,190.0,229.95,232.95,238.25,239.5,238.0,240.5,243.25,245.0,249.975,260.0,255.0,280.0,279.5,270.5,263.75,272.0,280.0,298.725,323.75,305.749,279.5,278.25,275.0,250.0,272.5,277.5,287.352,290.0,285.0,295.0,317.5,317.5,318.75,330.0,331.0,345.0,366.875,365.0,352.5,348.25,349.5,349.0,348.0,372.5,366.158,375.0,438.5,447.475,490.0,505.0,515.0,518.75,550.0,575.0,595.0,625.5,635.0,655.000,590.000,560.000,512.000,490.000,487.500,480.0,485.000,520.0,575.0,605.000,607.5,610.0,610.0,610.0,631.500,650.000,627.500,650.000
